date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:09	4188/4188	---MCZ	200	added ('OK')	text/html	etag:W/%22105c-5d09c1bed4507%22	https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/	C:/Users/Jacob/Downloads/COPY/html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/index.html	(from )
19:20:19	3047/3047	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22be7-5d1049471eae6%22	https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/images/touch-icon-114x114.png	C:/Users/Jacob/Downloads/COPY/html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/images/touch-icon-114x114.png	(from https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/)
19:20:20	3047/3047	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22be7-5d1049471eae6%22	https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/images/touch-icon-72x72.png	C:/Users/Jacob/Downloads/COPY/html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/images/touch-icon-72x72.png	(from https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/)
19:20:20	3047/3047	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22be7-5d1049471eae6%22	https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/images/touch-icon-57x57.png	C:/Users/Jacob/Downloads/COPY/html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/images/touch-icon-57x57.png	(from https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/)
19:20:21	1289/1289	---MCZ	200	added ('OK')	application/javascript	etag:W/%22618eba69-509%22	https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/js/games_lib/ludiAdapter.js	C:/Users/Jacob/Downloads/COPY/html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/js/games_lib/ludiAdapter.js	(from https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/)
19:20:23	721478/721478	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b0246-5eca164f1a0c0%22	https://api.gamemonetize.com/sdk.js	C:/Users/Jacob/Downloads/COPY/api.gamemonetize.com/sdk.js	(from https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/)
19:20:23	5582/5582	---MCZ	200	added ('OK')	application/javascript	etag:W/%22618eba69-15ce%22	https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/js/boot.js	C:/Users/Jacob/Downloads/COPY/html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/js/boot.js	(from https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/)
19:20:31	102298/102298	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218f9a-5eca10fd5881a%22	https://api.gamemonetize.com/sdk_mobile.js?v=	C:/Users/Jacob/Downloads/COPY/api.gamemonetize.com/sdk_mobileec92.js	(from https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/)
19:20:31	38536/38536	---MCZ	200	added ('OK')	application/javascript	etag:W/%226390df46-9688%22	https://ajax.cloudflare.com/cdn-cgi/scripts/04b3eb47/cloudflare-static/mirage2.min.js	C:/Users/Jacob/Downloads/COPY/ajax.cloudflare.com/cdn-cgi/scripts/04b3eb47/cloudflare-static/mirage2.min.js	(from https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/)
19:20:32	199470/199470	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Jul%202021%2014:51:19%20GMT	https://zazgames.com/images/Morethegames.png	C:/Users/Jacob/Downloads/COPY/zazgames.com/images/Morethegames.png	(from https://html5.gamemonetize.co/h3qpnts7bced08e98vip63yqs83m9wzy/)
